date,rolling_beta
2005-09-22,0.7143422129194572
2005-09-23,0.7094015535755245
2005-09-26,0.7265721601193403
2005-09-27,0.7611294345553614
2005-09-28,0.8225751134473794
2005-09-29,0.8063053056071527
2005-09-30,0.7947182435286927
2005-10-03,0.8279286009434734
2005-10-04,0.8490206375725959
2005-10-05,0.8999704350165445
2005-10-06,0.8914929788000573
2005-10-07,0.903387083998095
2005-10-10,0.9104085942340888
2005-10-11,0.9027694457409038
2005-10-12,0.9545965734207496
2005-10-13,0.9415453807207312
2005-10-14,0.8963491241410824
2005-10-17,0.8933241440451549
2005-10-18,0.8985137968064975
2005-10-19,0.837000962396357
2005-10-20,0.8476384022344778
2005-10-21,0.8456694717208595
2005-10-24,0.7673112569202957
2005-10-25,0.7685713762083936
2005-10-26,0.7738270693881601
2005-10-27,0.7468055846052296
2005-10-28,0.7506821453306823
2005-10-31,0.7301578186622689
2005-11-01,0.7176971973088045
2005-11-02,0.7400601067044287
2005-11-03,0.7332509256619305
2005-11-04,0.7095017136215496
2005-11-07,0.723967397543566
2005-11-08,0.7334032862257402
2005-11-09,0.7778280448605438
2005-11-10,0.7916909806362109
2005-11-11,0.7968765086720514
2005-11-14,0.8072825573461642
2005-11-15,0.7988775186689587
2005-11-16,0.8103769528982464
2005-11-17,0.8215801230878016
2005-11-18,0.8076661818594965
2005-11-21,0.8069812893078118
2005-11-22,0.8082720652288247
2005-11-23,0.7937818019077896
2005-11-25,0.7524238059113427
2005-11-28,0.7081753620211331
2005-11-29,0.7091584137819462
2005-11-30,0.7085168542454592
2005-12-01,0.7705951358988052
2005-12-02,0.7752447883112606
2005-12-05,0.7655900750346727
2005-12-06,0.7647183240577262
2005-12-07,0.7621378867551727
2005-12-08,0.7643230976775129
2005-12-09,0.7626472907534586
2005-12-12,0.763359459037491
2005-12-13,0.7605411560747631
2005-12-14,0.7644092681528734
2005-12-15,0.8317194702027944
2005-12-16,0.8398342700277059
2005-12-19,0.8317898382310305
2005-12-20,0.8313652720351498
2005-12-21,0.8315853830042332
2005-12-22,0.8480703714352832
2005-12-23,0.858682680069123
2005-12-27,0.7875434399445067
2005-12-28,0.7878421851919181
2005-12-29,0.7604505983666001
2005-12-30,0.7106333274148021
2006-01-03,0.8187187456232339
2006-01-04,0.8202525420877825
2006-01-05,0.8170657107008358
2006-01-06,0.8579967154489719
2006-01-09,0.8121495291753112
2006-01-10,0.8113663880758919
2006-01-11,0.8342228299510384
2006-01-12,0.8223625966703338
2006-01-13,0.8031527164753741
2006-01-17,0.8639648237545745
2006-01-18,0.8550854495431469
2006-01-19,0.8386356876521093
2006-01-20,0.9244193344146687
2006-01-23,0.9218765069205674
2006-01-24,0.8946554082273626
2006-01-25,0.9515794176076005
2006-01-26,0.9151772660447667
