ticker,date,close,shares,exposure,sharetrades,tradevalue,commission,interest,short_borrow_cost,margin_call
TLT,2021-06-25,119.07900000000004,147931,17615475.549000006,-46227,-5504664.933000002,135.66880688331815,0,-0,FALSE
GLD,2021-06-25,166.5900000000001,51864,8640023.760000005,-17269,-2876842.7100000014,60.441500000000026,0,-0,FALSE
VIXY,2021-06-25,477.3980000000008,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-25,27.98000000000002,124882,3494198.3600000027,-44644,-1249139.120000001,156.25400000000013,0,-0,FALSE
Cash,2021-06-28,0,0,-20291549.63714284,0,-0,0,-0,0,FALSE
VTI,2021-06-28,207.67700000000005,51077,10607518.129000003,0,0,0,0,-0,FALSE
TLT,2021-06-28,120.30300000000003,147931,17796543.093000002,0,0,0,0,-0,FALSE
GLD,2021-06-28,166.58000000000013,51864,8639505.120000007,0,0,0,0,-0,FALSE
VIXY,2021-06-28,478.19800000000066,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-28,27.89500000000002,124882,3483583.3900000025,0,0,0,0,-0,FALSE
Cash,2021-06-29,0,0,-20291549.63714284,0,-0,0,-0,0,FALSE
VTI,2021-06-29,207.68600000000006,51077,10607977.822000002,0,0,0,0,-0,FALSE
TLT,2021-06-29,120.50400000000005,147931,17826277.224000007,0,0,0,0,-0,FALSE
GLD,2021-06-29,164.83000000000015,51864,8548743.120000008,0,0,0,0,-0,FALSE
VIXY,2021-06-29,486.59800000000075,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-29,27.67000000000002,124882,3455484.9400000023,0,0,0,0,-0,FALSE
Cash,2021-06-30,0,0,-20281877.956865903,0,10303.234999998705,0,-0,0,FALSE
VTI,2021-06-30,207.69500000000005,74473,15467669.735000003,23396,4859232.220000002,76.3275862579661,0,-0,FALSE
TLT,2021-06-30,121.04100000000005,57746,6989633.586000003,-90185,-10916082.585000005,264.67813680290976,0,-0,FALSE
GLD,2021-06-30,165.63000000000014,79000,13084770.000000011,27136,4494535.680000003,94.97600000000008,0,-0,FALSE
VIXY,2021-06-30,481.59800000000064,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-30,27.775000000000016,180760,5020609.000000003,55878,1552011.450000001,195.57300000000012,0,-0,FALSE
Cash,2021-07-01,0,0,-20281877.956865903,0,-0,0,-0,0,FALSE
VTI,2021-07-01,208.82300000000006,74473,15551675.279000005,0,0,0,0,-0,FALSE
TLT,2021-07-01,121.04700000000007,57746,6989980.062000004,0,0,0,0,-0,FALSE
GLD,2021-07-01,166.20000000000013,79000,13129800.000000011,0,0,0,0,-0,FALSE
VIXY,2021-07-01,474.9980000000005,0,0,0,0,0,0,-0,FALSE
SVXY,2021-07-01,28.025000000000016,180760,5065799.000000003,0,0,0,0,-0,FALSE
